사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-07,3호선,64,불광,26,0,9140,1170,18509,5788,46716,10309,56241,30431,30763,26630,21927,21983,20576,21097,20991,21679,21388,22390,20572,21979,20762,24318,22159,27123,24916,34177,27396,53811,15130,43425,11418,24755,9935,18749,6404,19145,1279,8025,0,154,0,0,0,0,0,0
2021-07,3호선,65,녹번,31,1,9606,610,22991,4075,58950,7555,69157,17503,36609,9399,21613,8573,17930,9510,17436,10984,16177,11418,13932,12352,13426,14272,14027,20464,14233,30016,17493,55978,8494,47238,6492,25196,5236,21806,3831,20899,838,8388,0,22,1,1,0,0,0,0
2021-07,3호선,66,홍제,46,6,8698,1333,21553,9688,55881,10667,63430,21782,36991,16357,25731,14620,22524,14262,23089,15445,20514,16328,19023,17763,19148,22110,21014,25803,23133,34218,22869,56808,12330,45303,9103,24676,7433,22183,5329,19689,947,8738,1,1,0,0,0,0,0,0
2021-07,3호선,67,무악재,21,1,1857,255,5020,2399,13190,2752,14489,5550,8605,3065,5771,2783,4859,2985,4804,3286,4408,3616,3812,3864,3889,4667,4301,5542,5324,8316,6142,14624,2697,11458,2040,6511,1555,5716,1142,5636,239,2211,0,0,0,0,0,0,0,0
2021-07,3호선,68,독립문,121,1,5434,798,5504,5788,14079,12132,17186,18613,12658,10636,10440,8969,9619,8062,9851,7723,9564,8444,9479,7740,9998,8123,11281,9095,11807,11994,14409,16037,6596,12385,4339,7067,3531,6086,2729,6273,432,2643,2,1388,0,0,0,0,0,0
2021-07,3호선,69,경복궁(정부서울청사),51,2,2505,1688,5168,12818,12485,36942,17676,94169,16001,44940,13099,26988,14641,24681,16944,23847,20174,24296,22930,21401,28774,19156,33878,19435,52213,20071,87509,24846,33548,16060,24529,8215,25660,7345,15326,7796,1976,2915,3,99,0,0,0,0,0,0
2021-07,3호선,70,안국,25,0,1652,1425,3181,19496,5427,75223,7334,87359,7235,49614,9285,28747,12071,26676,17078,24631,17395,25474,22007,21959,27397,18122,35877,15873,79916,15173,89690,15464,34057,8148,25352,4253,21767,3556,13360,3431,1812,1405,1,25,0,0,0,0,0,0
2021-07,3호선,71,종로3가,16,2,473,993,1076,5856,1506,14656,1954,42664,3172,41799,4972,27258,7320,20262,8769,18007,9556,17865,10973,15650,14169,13901,16891,12080,27152,11166,48144,10350,29210,5292,14260,2063,15814,1694,10198,1485,1587,734,1,81,0,1,0,0,0,0
2021-07,3호선,72,을지로3가,9,1,608,901,985,8499,1783,30280,2992,69174,3531,29686,4665,13950,6341,11248,7738,10560,9058,10835,11800,9826,12735,9244,15652,8330,34689,9055,61095,10074,23775,5117,13800,2115,13883,1608,10494,1325,1306,617,0,46,0,0,0,0,0,0
2021-07,3호선,73,충무로,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,5,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
2021-07,3호선,74,동대입구,22,0,1485,1178,2326,9709,5001,13177,7037,42078,5603,21607,4767,11186,5235,9506,6300,9199,6920,8453,8531,7781,9986,6118,13815,6546,29980,7193,28291,9431,12844,6369,8360,3562,9722,3681,8218,3731,1486,1385,1,127,0,0,0,0,0,0
2021-07,3호선,75,약수,118,1,6249,1027,9706,5686,22636,13043,34646,32148,23997,19437,16859,13536,15302,13138,16368,13189,16230,13208,15313,14207,15860,15054,17693,18491,22065,24155,30746,37366,15222,23837,11779,14770,11960,13472,8938,13367,1565,4707,4,880,0,0,0,0,0,0
2021-07,3호선,76,금호,39,22,4593,538,9645,2780,23633,4758,31122,8549,19177,6948,12198,6212,10144,6745,10339,7138,9844,8261,8301,8489,8602,10092,8703,12076,9856,17852,10199,28868,6901,19543,5244,12481,4080,10231,3405,10786,596,3364,0,0,0,0,0,0,0,0
2021-07,3호선,77,옥수,277,15,3077,1070,8712,4541,19699,8227,26389,13934,16694,10516,11473,8110,11037,8981,11217,9934,11884,10943,11046,10858,11773,12333,13162,14322,14727,20471,15933,30465,9916,22602,7698,13675,6939,11569,5384,12345,1250,3930,6,153,0,0,0,0,0,0
2021-07,3호선,78,압구정,44,2,2593,2121,7469,22252,13653,44406,19668,130086,16643,148551,20542,68165,26896,50587,31411,43757,34470,47203,39934,40884,47790,35077,59554,35495,84518,40074,124023,45774,88183,24903,67558,11783,49685,8913,33646,8197,3674,2694,8,606,0,0,0,0,0,0
2021-07,3호선,79,신사,16,3,2551,1563,5197,20311,9011,41483,15811,107225,12680,128063,16151,62968,20661,42155,24572,40985,27925,42617,34348,40080,42189,36726,52860,35880,79590,39146,124733,51581,83653,25834,51939,10884,60595,7806,44723,7085,4248,2903,1,60,0,0,0,0,0,0
2021-07,3호선,80,잠원,5,0,975,526,4261,4586,10093,6988,13403,9540,8582,6393,5934,4385,5698,4600,6344,5244,6226,5767,5587,4741,5996,5232,7193,5753,9192,8220,8343,12691,5124,8935,3537,5109,3702,4752,2741,6031,505,1632,0,0,0,0,0,0,0,0
2021-07,3호선,81,고속터미널,78,2,4479,3183,6351,27447,22046,40459,35342,63872,36813,82070,36506,68410,43904,70838,53942,68162,57477,69220,63840,69070,71910,70208,83480,68398,100149,73193,105728,86859,82736,52931,94920,30769,55937,22009,34794,17483,8057,6446,9,183,0,1,0,0,0,0
